danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	type	id	uri	track_href	analysis_url	duration_ms	time_signature
0.457	0.997	1	-4.992	0	0.0634	8.36e-06	0.899	0.138	0.53	110.021	audio_features	2gSUtqdBM4k39be9FzQjOH	spotify:track:2gSUtqdBM4k39be9FzQjOH	https://api.spotify.com/v1/tracks/2gSUtqdBM4k39be9FzQjOH	https://api.spotify.com/v1/audio-analysis/2gSUtqdBM4k39be9FzQjOH	248933	4
0.378	0.787	1	-5.355	0	0.047	0.308	0.00047	0.659	0.437	136.864	audio_features	0ziwLF4VclAgOuwyJbk4eX	spotify:track:0ziwLF4VclAgOuwyJbk4eX	https://api.spotify.com/v1/tracks/0ziwLF4VclAgOuwyJbk4eX	https://api.spotify.com/v1/audio-analysis/0ziwLF4VclAgOuwyJbk4eX	278680	3
0.753	0.785	8	-2.714	1	0.262	0.0472	0.0	0.0893	0.633	130.199	audio_features	3qolQX5Hx9iTkN0Fwdr5mU	spotify:track:3qolQX5Hx9iTkN0Fwdr5mU	https://api.spotify.com/v1/tracks/3qolQX5Hx9iTkN0Fwdr5mU	https://api.spotify.com/v1/audio-analysis/3qolQX5Hx9iTkN0Fwdr5mU	174329	4
0.734	0.852	2	-3.85	1	0.0916	0.0401	0.0	0.196	0.787	98.504	audio_features	0Yz3F0UGDibDe8uU69zmjn	spotify:track:0Yz3F0UGDibDe8uU69zmjn	https://api.spotify.com/v1/tracks/0Yz3F0UGDibDe8uU69zmjn	https://api.spotify.com/v1/audio-analysis/0Yz3F0UGDibDe8uU69zmjn	226128	4
0.825	0.57	1	-7.461	0	0.136	0.253	0.0	0.0915	0.469	104.984	audio_features	1ONbg9reKP48AemQnhVuTa	spotify:track:1ONbg9reKP48AemQnhVuTa	https://api.spotify.com/v1/tracks/1ONbg9reKP48AemQnhVuTa	https://api.spotify.com/v1/audio-analysis/1ONbg9reKP48AemQnhVuTa	296579	4
0.645	0.293	2	-12.249	1	0.0327	0.545	0.000151	0.057	0.39	124.444	audio_features	1qAEz8tqxgqmZpyFxf3VuH	spotify:track:1qAEz8tqxgqmZpyFxf3VuH	https://api.spotify.com/v1/tracks/1qAEz8tqxgqmZpyFxf3VuH	https://api.spotify.com/v1/audio-analysis/1qAEz8tqxgqmZpyFxf3VuH	192600	3
0.436	0.244	0	-19.096	1	0.0339	0.87	0.000371	0.102	0.359	145.42	audio_features	1XYX4JnSULbKGCi5uSjeJy	spotify:track:1XYX4JnSULbKGCi5uSjeJy	https://api.spotify.com/v1/tracks/1XYX4JnSULbKGCi5uSjeJy	https://api.spotify.com/v1/audio-analysis/1XYX4JnSULbKGCi5uSjeJy	247013	4
0.201	0.647	10	-6.842	1	0.0363	0.000926	7.9e-05	0.176	0.32	115.609	audio_features	5FQ1ZPkIyYss4XhhDBvnC5	spotify:track:5FQ1ZPkIyYss4XhhDBvnC5	https://api.spotify.com/v1/tracks/5FQ1ZPkIyYss4XhhDBvnC5	https://api.spotify.com/v1/audio-analysis/5FQ1ZPkIyYss4XhhDBvnC5	203933	4
0.429	0.293	4	-9.325	0	0.0295	0.909	0.293	0.0945	0.0536	95.881	audio_features	2YJEYHrIy5I47yij3jAiTz	spotify:track:2YJEYHrIy5I47yij3jAiTz	https://api.spotify.com/v1/tracks/2YJEYHrIy5I47yij3jAiTz	https://api.spotify.com/v1/audio-analysis/2YJEYHrIy5I47yij3jAiTz	119067	4
0.324	0.353	4	-13.73	1	0.0329	0.0149	0.85	0.133	0.471	97.88	audio_features	55KeQhbDMOhmBHQhPE0DCc	spotify:track:55KeQhbDMOhmBHQhPE0DCc	https://api.spotify.com/v1/tracks/55KeQhbDMOhmBHQhPE0DCc	https://api.spotify.com/v1/audio-analysis/55KeQhbDMOhmBHQhPE0DCc	336622	3
